New,file_name,new_file_name,new_title,old_example_id,is_same,title, description, include_file,scenario_file,new_scenario_file,scenario_no,scenario_description,scenario_use_case,POU,work_queue,is_identifiers,loinc,is_query,is_provider,Tracking ID,Source of Tracking ID,Attachments or Task Based
,cdex-example1s-query-request-withsig,cdex-task-example17,Cdex Task Example 17,cdex-example1s-query-requested-withsig,FALSE,Query String Request for Signed Condition Data,Task to seek a patient active conditions using `Task.input` signature parameter to indicate a signature is required. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,cdex-example1s-query-requested-withsig,task-scenario1s-basic,task-scenario-7,7,condition-signature,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,NA,TB
,cdex-example1s-query-withsig-completed,cdex-task-example18,Cdex Task Example 18,cdex-example1s-query-withsig-completed,TRUE,Completed Query String Request for Signed Condition Data,Completed Task to seek a *signed* patient active conditions. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1s-basic,task-scenario-7,7,condition-signature,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,NA,TB
,cdex-claim-attachment-request-example-withsig,cdex-task-example19,Cdex Task Example 19,cdex-claim-attachment-request-example-withsig,TRUE,Claim Attachment Request Example,Claim Attachment Request sent by payer to a provider requesting a signed Progress note (H&P) note',cdex-claim-attachment-request-example-withsig,solicited-attachment-scenario1,solicited-attachment-scenario-1,8,Solicited Attachments using Code,solicited-attachment-claim,CLMATTCH,,TRUE,11506-3,FALSE,,trackingid123,Payer,A
,cdex-prior-auth-attachment-request-example-withsig,cdex-task-example20,Cdex Task Example 20,cdex-prior-auth-attachment-request-example-withsig,TRUE,Prior-Auth Attachment Request Example,Prior Authorization Attachment Request sent by payer to a provider requesting a signed Progress note (H&P) note,,,,,Solicited prior auth,solicited-attachment-pa,COVAUTH,,TRUE,11506-3,FALSE,,trackingid789,Payer,A
,,cdex-task-example21,Cdex Task Example 21,,TRUE,Coded Request for Surgical Operation Note," Task to seek a patient's latest operative notes using the CDex Profile code input. This example illustrates the use of FHIR resource references to the various actors.""",,task-scenario-9,task-scenario-9,9,Coded Request for Surgical Operation Note,care-coordination,COC,care-coordination,FALSE,11504-8,FALSE,,,NA,TB
X,,cdex-task-example22,Cdex Task Example 22,,TRUE,Request Additional Data using a Questionnaire:,See description field,,solicited-attachment-scenario2,solicited-attachment-scenario-2,10,Solicited Attachments using Questionnaire,Solicited prior auth,COVAUTH,,TRUE,Questionnaire,FALSE,,trackingid1012,Payer,A
X,,cdex-task-example23,Cdex Task Example 23,,TRUE,Request Additional Data using an Adaptive Questionnaire:,See description field,,,,,Solicited Attachments using Questionnaire,Solicited prior auth,COVAUTH,,TRUE,Questionnaire,FALSE,,trackingid1034,Payer,A
x,,cdex-task-example24,Cdex Task Example 24,,TRUE,Completed Request for Additional Data using a Questionnaire:,See description field,,solicited-attachment-scenario2,solicited-attachment-scenario-2,10,Solicited Attachments using Questionnaire,Solicited prior auth,COVAUTH,,TRUE,Questionnaire,FALSE,,trackingid1012,Payer,A
X,,cdex-task-example25,Cdex Task Example 25,,TRUE,Completed Request Additional Data using aa Adaptive Questionnaire:,See description field,,,,,Solicited Attachments using Questionnaire,Solicited prior auth,COVAUTH,,TRUE,Questionnaire,FALSE,,trackingid1034,Payer,A
X,,cdex-task-example26,Cdex Task Example 26,,TRUE,Data Request Using a Questionnaire,See description field,,task-scenario-10,task-scenario-10,,data request Questionnaire,claims audit,COVERAGE,claims-processing,TRUE,Questionnaire,FALSE,,,NA,TB
X,,cdex-task-example27,Cdex Task Example 27,,TRUE,Completed Data Request Using a Questionnaire,See description field,,task-scenario-10,task-scenario-10,,data request Questionnaire,claims audit,COVERAGE,claims-processing,TRUE,Questionnaire,FALSE,,,NA,TB
X,,cdex-task-example28,Cdex Task Example 28,,TRUE,Request Additional Data Requiring a Verification Signature Using a Questionnaire,See description field,,,,,Solicited Attachments using Questionnaire with Sig,Solicited prior auth,COVAUTH,,TRUE,Questionnaire,FALSE,,trackingid1056,Payer,A
X,,cdex-task-example29,Cdex Task Example 29,,TRUE,Completed Request for Additional Data Requiring a Verification Signature Using a Questionnaire,See description field,,,,,Solicited Attachments using Questionnaire with Sig,Solicited prior auth,COVAUTH,,TRUE,Questionnaire,FALSE,,trackingid1056,Payer,A
X,,cdex-task-example30,Cdex Task Example 30,,TRUE,Data Request Requiring a Verification Signature Using Questionnaire,See description field,,,,,data request Questionnaire  with sig,claims audit,COVERAGE,claims-processing,TRUE,Questionnaire,FALSE,,,NA,TB
X,,cdex-task-example31,Cdex Task Example 31,,TRUE,Completed Data Request Requiring a Verification Signature Using Questionnaire,See description field,,,,,data request Questionnaire  with sig,claims audit,COVERAGE,claims-processing,TRUE,Questionnaire,FALSE,,,NA,TB
